"stock_id","R2_lightgbm","QLIKE_lightgbm","R2_gam","QLIKE_gam","R2_har_base","QLIKE_har_base","R2_har_stepwise","QLIKE_har_stepwise"
"stock_0",-0.0127865338820108,0.112735648981211,-0.2638,0.12886,0.594898852554312,0.041435267550578,0.589728126927877,0.0393481754159493
"stock_1",0.493286873018198,0.0365498797752454,0.4344,0.03295,0.545998582044178,0.0228633631790296,0.512779555139224,0.0243167632127118
"stock_2",0.805869834554776,0.0301163753999553,0.3991,0.03339,0.680097291223124,0.0446054312773425,0.670743111048639,0.0444017338590175
"stock_3",0.446657169498817,0.047382517159072,0.5693,0.04183,0.594510738911433,0.0387048420293049,0.587618667819212,0.0375994151077654
"stock_4",0.485974639761946,0.0795921109241935,-0.0817,0.11027,0.693971752960483,0.0217068583433955,0.69331198262005,0.0256008029583275
"stock_5",0.263210862324859,0.163481591118665,0.4493,0.12871,0.56763537416539,0.0325214131792509,0.541198896599196,0.0339335378064404
"stock_6",0.549467396133552,0.0368731798647999,0.6122,0.05565,0.662016868546225,0.0361834394170394,0.660042594153642,0.0336063260731363
"stock_7",0.431459612136535,0.101383990198756,0.437,0.11275,0.441759457590754,0.035300529545793,0.410994527694535,0.0308707398131551
"stock_8",0.655270392058931,0.034419004194375,0.7325,0.04397,0.605343731598966,0.0461531771716492,0.571120414196897,0.053929654134764
"stock_9",0.196844528271451,0.100345943591341,0.2066,0.11696,0.567706421000273,0.0378165851611443,0.55732809673185,0.0450038800579108
"stock_10",0.804366873893287,0.0284749328208808,0.8047,0.03337,0.551515459724267,0.05693795272012,0.522346704329011,0.0564779403847215
"stock_11",0.274313785320815,0.0878795426826857,0.452,0.07624,0.703407880002696,0.0361374573297484,0.702515558453603,0.0296721307566175
"stock_13",0.717982039871618,0.0438801446807684,0.8459,0.05337,0.615442057533838,0.0339287310782924,0.611183421824964,0.0325341117182829
"stock_14",0.662794050643334,0.0195951542162078,0.3206,0.02652,0.653016085133257,0.0351966349275168,0.628433900131025,0.0354033689960184
"stock_15",0.529613510652238,0.0404404867395465,0.675,0.04834,0.594953115864487,0.0497620310402782,0.582866451132514,0.0498926718842418
"stock_16",0.454830909048476,0.07304836893751,0.2998,0.18282,0.708088836303075,0.0367692842670633,0.642446089871586,0.0492539851759253
"stock_17",0.599682636975247,0.0438590115033878,0.2661,0.05548,0.514926254115276,0.0381659573656135,0.501815220709699,0.0357702631390163
"stock_18",-0.0836707571004902,0.148369961784943,0.1042,0.18237,0.640819589003095,0.044164941516993,0.615043503236248,0.0489863618639269
"stock_19",0.498299640132911,0.0701566533643937,0.68,0.06221,0.760068812729062,0.0314396332977326,0.755097515678898,0.0261949525736318
"stock_20",0.594976338349394,0.0395413657899713,0.6902,0.029,0.610563848129907,0.03812633776744,0.588703362623987,0.0355838036145334
"stock_21",0.733985172536596,0.0335012867227054,0.8096,0.04146,0.560778232207826,0.0373860887726586,0.458768875234018,0.0327197812177779
"stock_22",0.494744815664626,0.0561641912990979,0.6947,0.06159,0.572661855954258,0.0369043185875039,0.557315896710986,0.0334691919311151
"stock_23",0.609378242072012,0.0565175968049714,0.6585,0.03868,0.544472989520052,0.0344189333245332,0.51765521447777,0.0372250233918568
"stock_26",0.655501418828269,0.0319913981029454,0.6327,0.039,0.598606321372167,0.0297320799605435,0.596753692155078,0.0288789535240687
"stock_27",0.517123819715885,0.137385683435285,0.5008,0.13483,0.504134138013631,0.042626973182521,0.461736205738011,0.0394275009793148
"stock_28",0.54814094890445,0.0354993220585734,-29.1072,0.05235,0.669123786117125,0.0216704819442859,0.609165060713211,0.0279885994239651
"stock_29",0.717440457219151,0.0203281042968163,0.7901,0.01045,0.515770862510617,0.0376968737928552,0.490051761798511,0.0346992987984724
"stock_30",0.0766193076800132,0.0751670925835681,0.3728,0.14908,0.696323561747611,0.0303290648870304,0.660071237769923,0.0348677088443538
"stock_31",0.280525985840216,0.260014694963057,0.4853,0.20662,0.538288761124698,0.0411562481302177,0.521008559234288,0.0383405456061682
"stock_32",0.628469758517893,0.0252892352302936,0.8306,0.04164,0.554928493191316,0.0221346761750122,0.545433765325172,0.0234051981755278
"stock_33",0.491860737344939,0.183965688783421,0.0356,0.17761,0.435584029426867,0.0205764385457454,0.426934584093581,0.0263119376649997
"stock_34",0.704945703151327,0.0372918755688109,0.6477,0.02485,0.586087754455922,0.0413374700562628,0.578983217323069,0.0423263784991598
"stock_35",0.713644251021098,0.0257633728461962,0.5646,0.01871,0.694208704563247,0.0263057250295261,0.691680251913335,0.0273605242364521
"stock_36",0.649744944834243,0.0225590741275097,0.7253,0.0359,0.606781746940766,0.0314274200622805,0.57262202888391,0.0311191518862319
"stock_37",0.214606433275012,0.154258451471863,0.3624,0.18072,0.583100713875069,0.0219930590509798,0.575725059066607,0.0195624152674972
"stock_38",0.309993874278159,0.0611380345048187,0.7211,0.0703,0.609242140939437,0.0343755292033717,0.571883637208743,0.0427801731333872
"stock_39",0.391039782913469,0.0313932483647021,0.0888,0.02953,0.409504012204396,0.0378774908553364,0.384114489716175,0.042090769987136
"stock_40",0.204819062003296,0.146487526266043,0.5954,0.09292,0.261270105353217,0.0408697421185972,0.213882212409713,0.0411976604381852
"stock_41",0.63885194725965,0.0511942225381751,0.5373,0.04025,0.619691549329102,0.0343733869414865,0.547521947887712,0.0278960683810485
"stock_42",0.555536915657531,0.0449590648093338,0.704,0.04863,0.567218903410142,0.0343394381015346,0.507587513289473,0.034723510126077
"stock_43",0.797278424017266,0.015268437621383,0.9236,0.01172,0.632462521100306,0.0365243757554563,0.626908538949409,0.0359219468319246
"stock_44",0.762136883458468,0.023630377208708,0.8157,0.0263,0.35547399603813,0.034727701159653,0.306790857310901,0.0274002357257168
"stock_46",0.504706452024887,0.0705796811580837,0.703,0.04943,0.652643444682014,0.0266854070700049,0.618488730586339,0.0320040487598189
"stock_47",0.508686758573725,0.0663869406400821,0.7462,0.05028,0.662558371968591,0.0302083575832335,0.65866445178417,0.0300423094666381
"stock_48",0.649148948310671,0.0959129749285821,0.5413,0.09789,0.629304900509733,0.0274314230588097,0.63405161793769,0.0275597929348823
"stock_50",0.683072841770033,0.0190961677472731,0.8388,0.02218,0.589968951637083,0.045406892141043,0.556876479160721,0.0478013528342497
"stock_51",0.595448595531123,0.0374979086194112,0.6183,0.05089,0.55336169655122,0.0196552471395068,0.524032676615748,0.0241031592174694
"stock_52",0.739997463486574,0.0311345929187793,0.6645,0.02754,0.515448579558651,0.0415364213126149,0.467533370316423,0.0335871189940655
"stock_53",0.306885913219665,0.0542729637612478,-0.3289,0.06137,0.571751925261954,0.035093083757081,0.545116936674404,0.0335345472127173
"stock_55",0.288887859973238,0.0664943089923822,0.6301,0.08721,0.721704418433616,0.0258397665914051,0.669476558071076,0.0199750913226108
"stock_56",0.661875598717647,0.0248569415934442,0.8073,0.0245,0.455906854341603,0.0349240889656505,0.428899952905027,0.0394546203625934
"stock_58",0.303682412323694,0.110840267718119,0.515,0.10806,0.675024458639628,0.0145439622324008,0.668727110067858,0.0159739697073661
"stock_59",0.439345582654587,0.0660298848434655,0.5074,0.05702,0.644801917878839,0.0442774168930822,0.604715160078359,0.0482584904281592
"stock_60",0.455293793311051,0.137761060206084,0.6508,0.1374,0.549918624710956,0.0518669359499752,0.491764311211413,0.041585361593317
"stock_61",0.646097969392278,0.0298010378809549,0.6941,0.02392,0.597657992992178,0.0404841607017793,0.495931634715478,0.0338955563926728
"stock_62",0.285236861589641,0.0850510862783094,0.5907,0.07815,0.476669807086796,0.0379568350693836,0.486274602718839,0.0317913662555045
"stock_63",0.731482650864897,0.0186110588431179,0.7177,0.02182,0.444024739594619,0.0280748870563494,0.353905261614449,0.0345197795038039
"stock_64",0.744885622317831,0.0263086154216103,0.7648,0.03407,0.507469057825054,0.0314419483282465,0.47777577119543,0.0318138867581851
"stock_66",0.560461895906245,0.0538494290620113,-3.0462,0.10062,0.597864863808131,0.0428637463257289,0.59130332471672,0.0420249058196129
"stock_67",0.662024529411301,0.0335388589078128,0.7427,0.04284,0.611804258763879,0.0401253743968447,0.602224839051871,0.0349172679421882
"stock_68",0.444411235521523,0.0498332786669604,0.3289,0.04982,0.607669879209655,0.0418552072278704,0.586122594947501,0.0362529170432832
"stock_69",0.788928810418685,0.0161448498771031,0.8721,0.016,0.640073176145564,0.0353094268727653,0.62736719302255,0.0404158247907901
"stock_70",0.668961904948132,0.0589870081891408,0.5793,0.08809,0.620050725992808,0.0361556612286769,0.602534325544789,0.0309130765920347
"stock_72",0.499848916158861,0.0703838986382714,0.5023,0.0689,0.634627131726887,0.0304870786979164,0.592140760112879,0.0348715402358278
"stock_73",0.586087301496326,0.0550942020393479,0.5961,0.03619,0.646847791895853,0.0347255830195933,0.614099840891669,0.029916235774031
"stock_74",0.412985036363765,0.0960069395740978,0.3377,0.07435,0.497783322677469,0.0427634096987884,0.417355050287476,0.0405005397070165
"stock_75",0.110641575217584,0.0999765053883707,0.1834,0.15859,0.623476655306792,0.0270510544253887,0.57986020866609,0.0348075956670991
"stock_76",0.57399037680999,0.0262348198964977,0.6563,0.02436,0.505979022135983,0.0348206755223639,0.489647413664852,0.0392518738042614
"stock_77",0.724836303340284,0.0328050576454717,-10.9279,0.02107,0.527046437782041,0.0438454365745271,0.534247765667804,0.0452748235921691
"stock_78",0.531260671565268,0.0772294732828646,0.6513,0.06928,0.540494933335549,0.04996718660515,0.546643990609877,0.044705262495883
"stock_80",0.530449033231738,0.0500449464077979,0.6528,0.057,0.683494835880907,0.0325952963112882,0.655166814307711,0.0302085883695474
"stock_81",0.554528477243016,0.0716407800487364,-0.1767,0.04524,0.441410217070184,0.0423545448333581,0.416491019164648,0.0478791345866757
"stock_82",0.625724835652331,0.103117544483975,0.5042,0.08305,0.414615860833182,0.0401162481731862,0.370931204802328,0.0466035956350848
"stock_83",0.407928882725524,0.121876658106687,0.4698,0.1334,0.610911393652456,0.0245284087373411,0.615722266742569,0.0239005102784119
"stock_84",0.725389151370445,0.0148763481854601,0.864,0.01287,0.663982917774965,0.0299354996857986,0.651849776215604,0.0279936788932141
"stock_85",0.507525278922016,0.0584623360790325,0.618,0.06381,0.63766393760375,0.0438027239748421,0.630712465899,0.0416303709405526
"stock_86",0.55827785956236,0.0489834700500571,0.6903,0.0559,0.525484920515057,0.0273653531166482,0.517152485946669,0.0322049970143606
"stock_87",0.361570995718433,0.061047970159007,0.703,0.04987,0.398306626389485,0.0303321485487091,0.36625761390051,0.0338394792521872
"stock_88",0.160942946917811,0.177891663288716,0.4779,0.14267,0.585854439267144,0.0364727945097822,0.524874116246346,0.0397818015570319
"stock_89",0.490900276342801,0.126988232224541,0.5875,0.11728,0.624348124504044,0.033871602793434,0.588284006303942,0.0297253657429253
"stock_90",0.457529495281561,0.113765929556629,0.6728,0.09597,0.651293909686152,0.0308460149869459,0.573691532604358,0.0384862383452265
"stock_93",0.741384002245907,0.0281505061360197,0.0379,0.02168,0.701104361171353,0.023966811417364,0.659749857607025,0.0260560696188107
"stock_94",0.550375948330153,0.0451826073695665,0.5775,0.06171,0.56935567772685,0.0399414421209565,0.510728291934639,0.0358843627049756
"stock_95",0.625154335966249,0.0312872491920928,0.7398,0.03736,0.50968964723988,0.0352647825397382,0.46945232812539,0.0434370234580925
"stock_96",0.590011805480087,0.0371729717990151,0.6664,0.02553,0.412298418679838,0.0352169219865581,0.38426663326667,0.0366260325505764
"stock_97",0.244811130908184,0.0786446540085097,0.4196,0.08468,0.616745945085674,0.0345819362023786,0.562774167394389,0.0352786611123829
"stock_98",0.346075938005454,0.103263659233541,0.5201,0.15282,0.529603305179837,0.0370843908110714,0.525701606980121,0.0376734356469759
"stock_99",0.493726731034927,0.0679583462568459,0.7371,0.05143,0.587434347734959,0.0340032504268565,0.577837396921026,0.034247535393704
"stock_100",0.605196731339296,0.0503083252032042,0.7203,0.03825,0.718513435708717,0.0429125240739752,0.71490991363867,0.0423991370264472
"stock_101",0.698508905169652,0.0319452648617632,0.6992,0.02811,0.760916807409788,0.0294480808225388,0.759185253701608,0.0309563394794602
"stock_102",0.525179104485277,0.0340210380928284,0.5438,0.08653,0.311796051852627,0.0462791886496449,0.244437777552108,0.0461092551444185
"stock_103",0.329686542789184,0.0889373958196907,0.6115,0.09652,0.799074267086752,0.0232826603360238,0.764459182332219,0.0321605157316427
"stock_104",0.474063202035291,0.0645236838021843,0.7177,0.06906,0.458512007994752,0.0403895325086497,0.452378599705645,0.037818521308586
"stock_105",0.565030601964545,0.0743683984900261,0.7481,0.06198,0.548022745739526,0.0469382263567496,0.531130276140685,0.0491633726674717
"stock_107",0.676318105218395,0.0524594928458064,0.6914,0.06188,0.57198244277196,0.0346723425223715,0.533892427687614,0.0337358048202652
"stock_108",0.61007666519456,0.034054966212079,0.863,0.04164,0.678963115891132,0.0435510630744776,0.670510578623974,0.0420406485170665
"stock_109",0.663501397531709,0.0395872943292642,0.8332,0.03639,0.646134006858313,0.0458073264302674,0.624998679755776,0.0420833441632704
"stock_110",0.279606387945324,0.0861426124540108,0.4722,0.10185,0.692635967632642,0.0300028805714013,0.655770373192026,0.0325735239036383
"stock_111",0.656119369948263,0.0266842071317873,0.881,0.01954,0.453481705238353,0.0332112086806335,0.41524169739008,0.0411374576065161
"stock_112",0.302448227910297,0.171138953754768,-4.6743,0.11273,0.782540200921566,0.0318000321922436,0.740460601376122,0.0380263482158679
"stock_113",0.630011495838486,0.0476215574789028,0.703,0.04691,0.548308676566182,0.0279959547149631,0.53988058901576,0.0308355129579142
"stock_114",0.603939631820705,0.0491662879503294,0.362,0.05497,0.59512833530786,0.0417720073341729,0.591963132196844,0.0425563502412559
"stock_115",0.346304121237094,0.0669163808200844,0.6075,0.04099,0.705335884141347,0.0341254858483425,0.699047550036072,0.0316781071968055
"stock_116",0.366572874319215,0.105901639498117,0.4875,0.08514,0.497769101973799,0.0406004532339841,0.451033312664917,0.0510685573026208
"stock_118",0.321600597284343,0.0729594109608084,0.6381,0.08268,0.605366467119059,0.0259831058009258,0.581301523773765,0.030368587437995
"stock_119",0.680217903389024,0.0292837554418566,0.7583,0.04077,0.494448964065139,0.0288112625077781,0.498204341324288,0.0292331720105995
"stock_120",0.686950460843421,0.0229562724021788,0.7855,0.03422,0.66428960108278,0.0397027634331013,0.632764414351795,0.0462169807362139
"stock_122",0.560296593206014,0.049670949229245,0.6234,0.03745,0.532876404976058,0.0400820038824944,0.466448767101837,0.0488562257819506
"stock_123",0.769082000394501,0.0263467761183294,0.8789,0.01805,0.540038436995155,0.0477814886982824,0.52598114392893,0.0529036674460768
"stock_124",0.684059079327785,0.0204734212470614,0.7767,0.0195,0.343408089784214,0.0402191799060768,0.297373604687306,0.0382844887278705
"stock_125",0.68471378227956,0.0564510235144942,0.7877,0.05323,0.40679548253379,0.0389669110048056,0.321542622631284,0.0446214063570808
"stock_126",0.435487105256318,0.0808756691381776,0.5173,0.07796,0.58687665812095,0.0370182368358378,0.597366587646946,0.0358769308581639
